trial_count,FBDuration,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct
109,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5604469776153564,1,"(1, 2)",109,1,False,False,False,True,False,True
110,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.9626240730285645,1,"(0, 3)",110,1,False,False,True,False,True,False
111,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.9475200176239014,1,"(0, 2)",111,1,True,False,True,False,False,False
112,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.7700321674346924,1,"(1, 3)",112,1,False,False,True,False,False,False
113,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.9892148971557617,1,"(1, 2)",113,1,False,False,False,False,True,False
114,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.6745898723602295,1,"(0, 2)",114,1,False,False,False,True,False,True
115,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.6467771530151367,1,"(0, 3)",115,1,False,False,False,True,False,True
116,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,1.0867459774017334,1,"(0, 3)",116,1,True,False,False,True,False,True
117,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.6079490184783936,1,"(0, 3)",117,1,True,False,False,True,False,True
118,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.7298598289489746,0,"(1, 3)",118,0,False,True,True,False,True,True
119,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.7284150123596191,0,"(1, 3)",119,0,True,False,True,False,False,True
120,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5171949863433838,0,"(0, 2)",120,0,False,False,True,False,False,True
121,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.5620729923248291,0,"(0, 2)",121,0,True,False,True,False,False,True
122,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.573387861251831,0,"(0, 3)",122,0,True,False,True,False,False,True
123,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.36988401412963867,0,"(0, 3)",123,0,True,False,True,False,False,True
124,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-1.0,1,0.654426097869873,0,"(1, 2)",124,0,False,False,True,False,False,True
125,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,1.3645801544189453,0,"(0, 2)",125,0,False,False,False,False,True,False
126,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,1.1493210792541504,0,"(0, 2)",126,0,False,False,True,False,True,True
127,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.39185595512390137,0,"(0, 2)",127,0,True,False,True,False,False,True
128,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5399651527404785,0,"(0, 3)",128,0,True,False,True,False,False,True
129,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,0,0.9016900062561035,0,"(0, 2)",129,0,True,False,True,False,False,True
130,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,1.129958152770996,0,"(0, 3)",130,0,True,False,True,False,False,True
131,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.6831328868865967,0,"(1, 2)",131,0,False,False,True,False,False,True
132,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.5138709545135498,0,"(0, 3)",132,0,False,False,True,False,False,True
133,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.6887001991271973,0,"(1, 2)",133,0,False,False,True,False,False,True
134,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.8930990695953369,0,"(1, 2)",134,0,False,False,False,True,True,False
135,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,1,0.7409369945526123,0,"(1, 2)",135,0,False,False,True,False,True,True
136,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.7205870151519775,0,"(1, 2)",136,0,True,False,True,False,False,True
137,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5186660289764404,0,"(0, 3)",137,0,False,False,True,False,False,True
138,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.8093011379241943,0,"(1, 3)",138,0,False,False,True,False,False,True
139,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.34273409843444824,0,"(0, 2)",139,0,False,False,True,False,False,True
140,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5840549468994141,0,"(1, 2)",140,0,False,False,True,False,False,True
141,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5337619781494141,0,"(1, 3)",141,0,True,False,True,False,False,True
142,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.4268050193786621,0,"(1, 3)",142,0,True,False,True,False,False,True
143,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.8022060394287109,0,"(0, 2)",143,0,False,False,False,True,True,False
144,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.7087690830230713,0,"(0, 3)",144,0,False,False,True,False,True,True
145,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5955362319946289,1,"(0, 2)",145,1,False,True,False,True,True,True
146,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5458109378814697,1,"(0, 2)",146,1,True,False,False,True,False,True
147,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,3,0.7220420837402344,1,"(1, 3)",147,1,False,False,False,True,False,True
148,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,1.0102810859680176,1,"(1, 3)",148,1,True,False,False,True,False,True
149,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,2,0.5386559963226318,1,"(0, 3)",149,1,False,False,False,False,False,False
