trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,correct
138,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(0, 2)",138,1,False,False,False,True,True
139,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,0,"(0, 2)",139,1,True,False,False,True,True
140,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 3)",140,1,False,False,True,False,False
141,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,0,"(1, 2)",141,1,False,False,False,True,True
142,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,0,"(0, 3)",142,1,False,False,False,True,True
143,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 2)",143,1,False,False,True,False,False
144,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5,0,"(1, 2)",144,1,False,False,False,True,True
145,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,0,"(1, 2)",145,1,False,False,True,False,False
146,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,0,"(1, 3)",146,1,True,False,True,False,False
147,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,2,0.5,0,"(0, 2)",147,1,False,False,False,True,True
148,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,0,"(1, 2)",148,1,False,False,True,False,False
149,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,0,"(1, 3)",149,1,False,False,False,True,True
150,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,3,0.5,0,"(0, 3)",150,1,True,False,False,True,True
151,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,0,"(1, 3)",151,1,True,False,False,True,True
