trial_count,FBDuration,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct,ts0_posterior_ignore,ts0_posterior_single,ts0_posterior_optimal,smoothed_ts0_ignore,smoothed_ts0_single,smoothed_ts0_optimal,smoothed_context
49,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,2,0.42139387130737305,1,"(1, 2)",49,1,True,False,False,True,False,True,0.018993448657483984,0.002146624791058985,0.004110876392530875,0.19956798964624048,0.2606674178608488,0.25434978888860527,0.5934116727134732
50,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,3,0.9180409908294678,1,"(1, 3)",50,1,False,False,False,True,False,True,0.012336726208602404,0.0013859456067248715,0.0014367023266802735,0.10595235792742128,0.1310266817337866,0.12789324560764254,0.796705836356737
51,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,1.2041969299316406,1,"(1, 3)",51,1,True,False,False,True,False,True,0.044449546858264494,0.005142002709015806,0.005207411194491667,0.07520095239284286,0.06808434222140114,0.06655032840106705,0.7483529181783684
52,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.7805421352386475,1,"(0, 3)",52,1,True,False,False,True,False,True,0.39215181336301785,0.06688830997225197,0.06978178239233901,0.23367638287793044,0.06748632609682656,0.06816605539670303,0.42417645908918405
53,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5298478603363037,1,"(1, 3)",53,1,True,False,False,True,False,True,0.10052719154610551,0.012265722271562569,0.020213112311486797,0.16710178721201793,0.03987602418419456,0.04418958385409491,0.46208822954459206
54,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.4961848258972168,1,"(0, 3)",54,1,True,False,False,True,False,True,0.39215181336301785,0.06688830997225197,0.07816952718690248,0.2796268002875179,0.05338216707822326,0.0611795555204987,0.28104411477229607
55,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5702948570251465,1,"(0, 2)",55,1,False,False,False,True,False,True,0.39215181336301785,0.06688830997225197,0.11127752986542788,0.33588930682526785,0.06013523852523761,0.08622854269296329,0.19052205738614805
56,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5408320426940918,1,"(1, 2)",56,1,True,False,False,True,False,True,0.10052719154610551,0.012265722271562569,0.025388121030219715,0.21820824918568668,0.03620048039840009,0.0558083318615915,0.345261028693074
57,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.44901204109191895,1,"(1, 2)",57,1,True,False,False,True,False,True,0.21168000944053236,0.028971227448835405,0.03542323444237601,0.21494412931310952,0.03258585392361775,0.04561578315198375,0.322630514346537
58,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.40921902656555176,1,"(1, 2)",58,1,True,False,False,True,False,True,0.21168000944053236,0.028971227448835405,0.0380318485484724,0.21331206937682096,0.030778540686226576,0.041823815850228076,0.3113152571732685
59,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.38970088958740234,1,"(1, 2)",59,1,True,False,False,True,False,True,0.10052719154610551,0.012265722271562569,0.016486612119435997,0.15691963046146323,0.021522131478894573,0.029155213984832035,0.40565762858663423
60,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.9184081554412842,1,"(0, 3)",60,1,False,False,True,False,True,False,0.7883199905594676,0.29268146624944924,0.32218648688355883,0.4726198105104654,0.15710179886417192,0.17567085043419545,0.052828814293317095
61,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,1.2650468349456787,1,"(0, 3)",61,1,True,False,True,False,False,False,0.21168000944053236,0.028971227448835405,0.13011129406021438,0.3421499099754989,0.09303651315650366,0.1528910722472049,0.17641440714665857
62,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.8940179347991943,1,"(1, 2)",62,1,False,False,False,True,True,True,0.21168000944053236,0.028971227448835405,0.06441898697183648,0.2769149597080156,0.06100387030266953,0.1086550296095207,0.2382072035733293
63,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5288479328155518,1,"(1, 2)",63,1,True,False,False,True,False,True,0.10052719154610551,0.012265722271562569,0.0195700414644574,0.18872107562706056,0.03663479628711605,0.06411253553698905,0.3691036017866647
64,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.7210979461669922,1,"(0, 2)",64,1,True,False,False,True,False,True,0.21168000944053236,0.028971227448835405,0.03392615984479133,0.20020054253379646,0.032803011867975726,0.04901934769089019,0.33455180089333236
65,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.6337580680847168,1,"(0, 3)",65,1,False,False,False,True,False,True,0.10052719154610551,0.012265722271562569,0.016018566959148623,0.15036386703995097,0.02253436706976915,0.03251895732501941,0.4172759004466662
