trial_count,FBDuration,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct,ts0_posterior_ignore,ts0_posterior_single,ts0_posterior_optimal,smoothed_ts0_ignore,smoothed_ts0_single,smoothed_ts0_optimal,smoothed_context
31,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.8076341152191162,1,"(1, 3)",31,0,True,False,True,False,False,True,0.39215181336301785,0.06688830997225197,0.15029399232753426,0.3580102052288328,0.070460842080502,0.2174471632202717,0.14243978563923373
32,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.7437160015106201,1,"(1, 2)",32,0,True,False,True,False,False,True,0.6078481866369821,0.14692208625455871,0.3044872367914297,0.4829291959910774,0.10869146418533288,0.2609672000261163,0.021219892763169414
33,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.45725011825561523,1,"(0, 3)",33,0,False,False,True,False,False,True,0.044449546858264494,0.005142002709015806,0.023770085721448477,0.2636893713736252,0.056916733435119604,0.14236864284616899,0.3606099464606051
34,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.3930699825286865,1,"(0, 2)",34,0,True,False,True,False,False,True,0.044449546858264494,0.005142002709015806,0.0062449744528610815,0.15406945910318343,0.031029368069054018,0.07430680864159159,0.5303049732500577
35,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.49653196334838867,1,"(1, 3)",35,0,False,False,True,False,False,True,0.39215181336301785,0.06688830997225197,0.07035936093764941,0.27311063624002974,0.04895883902169663,0.0723330847895056,0.31515248661250533
36,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.6870710849761963,1,"(0, 3)",36,0,False,False,True,False,False,True,0.21168000944053236,0.028971227448835405,0.04738329138448489,0.24239532283938714,0.038965033234975154,0.05985818808663217,0.3075762433060322
37,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.46529293060302734,1,"(1, 2)",37,0,False,False,True,False,False,True,0.10052719154610551,0.012265722271562569,0.017564286178830792,0.1714612571917141,0.0256153777530746,0.038711237132423755,0.4037881216544162
38,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.40989089012145996,1,"(1, 3)",38,0,True,False,True,False,False,True,0.10052719154610551,0.012265722271562569,0.014183512862621813,0.13599422436865174,0.01894055001227002,0.026447374997433555,0.4518940608275581
39,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.7070779800415039,1,"(1, 3)",39,0,True,False,True,False,False,True,0.044449546858264494,0.005142002709015806,0.005794757157070513,0.0902218856132916,0.012041276360617813,0.016121066077214467,0.5759470304142303
40,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.536005973815918,1,"(0, 3)",40,0,False,False,True,False,False,True,0.21168000944053236,0.028971227448835405,0.03042559288149846,0.15095094752702246,0.020506251904742007,0.023273329479369474,0.43797351520686423
41,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.533581018447876,1,"(1, 3)",41,0,False,False,True,False,False,True,0.10052719154610551,0.012265722271562569,0.015621929876859664,0.12573906953654104,0.016385987088148538,0.01944762967811109,0.4689867576034603
