trial_count,FBDuration,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct
90,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.5346310138702393,1,"(1, 3)",90,0,False,False,True,False,False,True
91,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,1,0.541907787322998,1,"(1, 3)",91,0,True,False,True,False,False,True
92,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,1.00046706199646,1,"(1, 2)",92,0,True,False,True,False,False,True
93,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,1,0.6324880123138428,1,"(1, 2)",93,0,True,False,True,False,False,True
94,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.9040470123291016,1,"(1, 3)",94,0,True,False,True,False,False,True
95,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.6745028495788574,1,"(0, 3)",95,0,False,False,True,False,False,True
96,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,0,0.6476471424102783,1,"(0, 3)",96,0,True,False,True,False,False,True
97,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,1.156667947769165,1,"(1, 2)",97,0,False,False,True,False,False,True
98,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,2,0.700916051864624,0,"(0, 2)",98,1,False,True,False,True,True,True
99,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,0.5324769020080566,0,"(0, 2)",99,1,True,False,False,True,False,True
100,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,2,0.44319796562194824,0,"(0, 2)",100,1,True,False,False,True,False,True
101,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,2,0.8080880641937256,0,"(0, 3)",101,1,True,False,False,False,False,False
102,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,3,0.7216839790344238,0,"(1, 3)",102,1,False,False,False,True,False,True
103,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.8056399822235107,0,"(0, 3)",103,1,True,False,False,True,False,True
104,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,0.4757399559020996,1,"(0, 2)",104,0,False,True,False,True,False,False
105,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.6400160789489746,1,"(1, 2)",105,0,True,False,False,True,False,False
106,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.881242036819458,1,"(1, 2)",106,0,True,False,False,True,False,False
107,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,0,0.7206218242645264,1,"(0, 2)",107,0,False,False,True,False,True,True
108,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,1,0.5180108547210693,1,"(1, 3)",108,0,False,False,True,False,False,True
109,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,0,0.5912148952484131,1,"(0, 2)",109,0,False,False,True,False,False,True
110,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.6130759716033936,1,"(1, 3)",110,0,False,False,True,False,False,True
111,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.6780130863189697,0,"(1, 3)",111,1,True,True,True,False,False,False
112,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-1.0,2,0.7801110744476318,0,"(0, 2)",112,1,False,False,False,True,True,True
113,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,0.739872932434082,0,"(1, 2)",113,1,True,False,False,True,False,True
114,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.528317928314209,0,"(0, 2)",114,1,True,False,False,True,False,True
115,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.4333000183105469,0,"(1, 2)",115,1,True,False,False,True,False,True
116,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,3,0.467487096786499,0,"(1, 3)",116,1,False,False,False,True,False,True
117,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,2,0.5973660945892334,0,"(0, 2)",117,1,False,False,False,True,False,True
118,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,3,0.6857268810272217,0,"(1, 3)",118,1,False,False,False,True,False,True
119,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5889301300048828,0,"(1, 2)",119,1,False,False,False,True,False,True
120,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.7,1,0.8910291194915771,0,"(1, 2)",120,1,False,False,True,False,True,False
121,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,2,1.024519920349121,0,"(0, 2)",121,1,False,False,False,True,True,True
122,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,3,0.6007339954376221,0,"(1, 3)",122,1,False,False,False,True,False,True
123,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.6796190738677979,0,"(1, 3)",123,1,True,False,False,True,False,True
124,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,3,0.830977201461792,0,"(0, 3)",124,1,True,False,False,True,False,True
125,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,3,0.7210531234741211,0,"(0, 3)",125,1,True,False,False,True,False,True
126,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,2,0.6857571601867676,0,"(1, 2)",126,1,False,False,False,True,False,True
127,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.7848300933837891,0,"(1, 2)",127,1,True,False,False,True,False,True
128,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,3,0.7468481063842773,0,"(1, 3)",128,1,False,False,False,True,False,True
