trial_count,FBDuration,actualFBOnsetTime,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,subj_switch,correct
62,0.5,0.5001840591430664,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,0,0.5288121700286865,0,"(0, 2)",62,0,False,False,True,False,True,True
63,0.5,0.5004239082336426,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.24032306671142578,0,"(1, 3)",63,0,False,False,True,False,False,True
64,0.5,0.5010800361633301,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.32436490058898926,0,"(0, 3)",64,0,False,False,True,False,False,True
65,0.5,0.5010719299316406,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.5,1,0.22768402099609375,0,"(0, 2)",65,0,False,False,False,False,True,False
66,0.5,0.5004229545593262,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.3065450191497803,0,"(1, 2)",66,0,True,False,True,False,True,True
67,0.5,0.5008759498596191,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,0,0.34108400344848633,0,"(1, 2)",67,0,False,False,False,False,True,False
68,0.5,0.5012130737304688,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.39143896102905273,1,"(1, 3)",68,1,False,True,True,False,True,False
69,0.5,0.5012519359588623,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,1,0.2707400321960449,1,"(1, 3)",69,1,True,False,True,False,False,False
70,0.5,0.5011270046234131,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,0,0.3418858051300049,0,"(1, 3)",70,0,False,True,False,False,True,False
71,0.5,0.5010650157928467,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.30527186393737793,0,"(1, 2)",71,0,False,False,True,False,True,True
72,0.5,0.5003888607025146,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.2991909980773926,0,"(1, 2)",72,0,True,False,True,False,False,True
73,0.5,0.5002539157867432,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.43568992614746094,0,"(0, 3)",73,0,False,False,True,False,False,True
74,0.5,0.5011279582977295,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.29785799980163574,0,"(1, 3)",74,0,False,False,True,False,False,True
75,0.5,0.501072883605957,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.32303500175476074,0,"(0, 2)",75,0,True,False,False,False,True,False
76,0.5,0.5011050701141357,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.3648557662963867,0,"(1, 3)",76,0,True,False,True,False,True,True
77,0.5,0.5012040138244629,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.2815210819244385,0,"(1, 3)",77,0,True,False,True,False,False,True
78,0.5,0.5010848045349121,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.29218292236328125,0,"(0, 3)",78,0,False,False,True,False,False,True
79,0.5,0.5003879070281982,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,0,0.3515040874481201,0,"(1, 2)",79,0,True,False,False,False,True,False
80,0.5,0.5010662078857422,"{'mean': -0.29999999999999999, 'sd': 0.37}",-1.0,1,0.43590402603149414,0,"(1, 2)",80,0,False,False,True,False,True,True
