trial_count,FB,c_dis,context,response,rt,state,stim,trial_count,ts,rep_resp,switch,con_shape,con_orient,correct
65,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,1,"(0, 3)",65,1,True,False,False,True,True
66,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,1,"(1, 3)",66,1,True,False,False,True,True
67,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,2,0.5,1,"(0, 2)",67,1,False,False,False,True,True
68,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,2,0.5,1,"(0, 2)",68,1,True,False,False,True,True
69,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,2,0.5,1,"(1, 2)",69,1,True,False,False,True,True
70,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,1,"(0, 2)",70,1,True,False,False,True,True
71,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,1,"(0, 2)",71,1,True,False,False,True,True
72,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,2,0.5,1,"(1, 2)",72,1,True,False,False,True,True
73,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,1,"(0, 3)",73,1,False,False,False,True,True
74,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,1,"(0, 3)",74,1,True,False,False,True,True
75,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,1,"(0, 3)",75,1,True,False,False,True,True
76,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,1,"(1, 2)",76,1,False,False,False,True,True
77,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5,1,"(1, 2)",77,1,True,False,False,True,True
78,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",1.0,3,0.5,1,"(1, 3)",78,1,False,False,False,True,True
79,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,2,0.5,1,"(1, 2)",79,1,False,False,False,True,True
80,0,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,3,0.5,1,"(1, 3)",80,0,False,True,False,True,False
81,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,1,"(1, 2)",81,0,False,False,True,False,True
82,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 3)",82,0,False,False,True,False,True
83,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,1,"(0, 2)",83,0,True,False,True,False,True
84,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.9000000000000001,1,0.5,1,"(1, 3)",84,0,False,False,True,False,True
85,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.30000000000000004,1,0.5,1,"(1, 2)",85,0,True,False,True,False,True
86,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 3)",86,0,False,False,True,False,True
87,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,1,0.5,1,"(1, 2)",87,0,False,False,True,False,True
88,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,1,0.5,1,"(1, 3)",88,0,True,False,True,False,True
89,1,"{'mean': -0.29999999999999999, 'sd': 0.37}",-0.5,0,0.5,1,"(0, 3)",89,0,False,False,True,False,True
90,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.7000000000000001,1,0.5,1,"(1, 3)",90,1,False,True,True,False,False
91,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,1,0.5,1,"(1, 2)",91,1,True,False,True,False,False
92,0,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,0,0.5,1,"(0, 2)",92,1,False,False,True,False,False
93,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,1,"(1, 3)",93,1,False,False,False,True,True
94,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,1,"(0, 2)",94,1,False,False,False,True,True
95,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.5,3,0.5,1,"(0, 3)",95,1,False,False,False,True,True
96,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,2,0.5,1,"(1, 2)",96,1,False,False,False,True,True
97,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.10000000000000009,3,0.5,1,"(0, 3)",97,1,False,False,False,True,True
98,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.7,3,0.5,1,"(0, 3)",98,1,True,False,False,True,True
99,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",-0.10000000000000009,3,0.5,1,"(1, 3)",99,1,True,False,False,True,True
100,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.8999999999999999,2,0.5,1,"(0, 2)",100,1,False,False,False,True,True
101,1,"{'mean': 0.29999999999999999, 'sd': 0.37}",0.30000000000000004,3,0.5,1,"(0, 3)",101,1,False,False,False,True,True
